run_id,scenario,phase,src_id,field_observer_model,engineer_model,model_class,observer_model,postmortem,round_time_budget_seconds,random_seed,history,rounds_after_swap,total_rounds,round_success_count,round_success_after_resume,perplexity,english_ngram_surprisal,message_entropy,gzip_compression_ratio,mcm,labels
veyru/1779908251,veyru,baseline,veyru/1779908251,gpt-5.4,gpt-5.4,closed,,TRUE,250,FALSE,,,15,6,,6.296311797,3.101757099,4.121240989,0.8999252825,80.46938776,protocol_learnability|phase=baseline|budget=250|model=gpt54|rc=15|ordered_easy_rounds
veyru/1781742279,veyru,replace_cross_family,veyru/1779908251,gpt-5.4,gpt-5.4,closed,opus47,TRUE,250,FALSE,10,10,25,9,0.2727272727,6.771924964,3.369260563,3.970875767,0.9730481044,59.65420561,protocol_learnability|phase=replace_cross_family|budget=250|model=gpt54|observer=opus47|history=10|src=veyru/1779908251|ordered_easy_rounds
veyru/1781742283,veyru,replace_cross_family,veyru/1779908251,gpt-5.4,gpt-5.4,closed,opus47,TRUE,250,FALSE,10,10,25,8,0.1818181818,6.562687154,3.311347857,3.941509759,0.9691231176,63.86734694,protocol_learnability|phase=replace_cross_family|budget=250|model=gpt54|observer=opus47|history=10|src=veyru/1779908251|ordered_easy_rounds
veyru/1781742284,veyru,replace_cross_family,veyru/1779908251,gpt-5.4,gpt-5.4,closed,opus47,TRUE,250,FALSE,10,10,25,10,0.3636363636,6.593640048,3.28431615,4.034569506,0.9571220321,66.68085106,protocol_learnability|phase=replace_cross_family|budget=250|model=gpt54|observer=opus47|history=10|src=veyru/1779908251|ordered_easy_rounds
veyru/1781715285,veyru,replace_learned,veyru/1779908251,gpt-5.4,gpt-5.4,closed,,TRUE,250,FALSE,10,10,25,8,0.1818181818,6.573099961,3.256022693,4.090631304,0.9485311507,66.77,protocol_learnability|phase=replace_learned|budget=250|model=gpt54|history=10|src=veyru/1779908251|ordered_easy_rounds
veyru/1781716193,veyru,replace_learned,veyru/1779908251,gpt-5.4,gpt-5.4,closed,,TRUE,250,FALSE,10,10,25,8,0.1818181818,6.585440684,3.151840999,4.076286489,0.9478345391,66.64285714,protocol_learnability|phase=replace_learned|budget=250|model=gpt54|history=10|src=veyru/1779908251|ordered_easy_rounds
veyru/1781716227,veyru,replace_learned,veyru/1779908251,gpt-5.4,gpt-5.4,closed,,TRUE,250,FALSE,10,10,25,9,0.2727272727,6.587345402,3.258860398,4.031092674,0.9670970483,62.77358491,protocol_learnability|phase=replace_learned|budget=250|model=gpt54|history=10|src=veyru/1779908251|ordered_easy_rounds
veyru/1781723409,veyru,replace_learned,veyru/1779908251,gpt-5.4,gpt-5.4,closed,,TRUE,250,FALSE,5,10,25,10,0.3636363636,6.815105167,3.269793291,4.026416878,0.9579335224,64.68627451,protocol_learnability|phase=replace_learned|budget=250|model=gpt54|history=5|src=veyru/1779908251|ordered_easy_rounds
veyru/1781723415,veyru,replace_learned,veyru/1779908251,gpt-5.4,gpt-5.4,closed,,TRUE,250,FALSE,5,10,25,10,0.3636363636,6.567405521,3.254920165,4.03499443,0.9607336771,65.14851485,protocol_learnability|phase=replace_learned|budget=250|model=gpt54|history=5|src=veyru/1779908251|ordered_easy_rounds
veyru/1781723420,veyru,replace_learned,veyru/1779908251,gpt-5.4,gpt-5.4,closed,,TRUE,250,FALSE,5,10,25,7,0.09090909091,6.593805464,3.246645864,4.00053425,0.9630146522,63.92079208,protocol_learnability|phase=replace_learned|budget=250|model=gpt54|history=5|src=veyru/1779908251|ordered_easy_rounds
